pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear
Kepler-1167 b,Kepler-1167,1.71,0.0175,4971.0,-0.53589,1543.6657613576576,0.2911454450563117
Kepler-1740 b,Kepler-1740,3.32321414,0.0779,5705.0,-0.07942,951.5268926109752,0.8328753331616009
Kepler-1581 b,Kepler-1581,0.8,0.06865,6022.0,0.39085,1328.7308705461458,2.4595179700174
Kepler-644 b,Kepler-644,3.15,0.04641,6747.0,0.71041,1942.4127124056145,5.133457844677136
Kepler-1752 b,Kepler-1752,4.54060463,0.2698,5446.0,-0.39819,425.57521110628386,0.39976981573435744
Kepler-280 c,Kepler-280,2.01,0.056,5744.0,-0.06437,1132.0309022581293,0.8622436406961691
Kepler-1208 b,Kepler-1208,2.32,0.0901,5001.0,-0.55349,673.457045030579,0.27958251030917275
Kepler-263 c,Kepler-263,2.47,0.242,5265.0,-0.45614,434.6123998370436,0.34983237621557006
Kepler-1101 b,Kepler-1101,2.47,0.3483,5614.0,-0.35135,384.79600872053004,0.44529723657964887
HD 168746 b,HD 168746,11.1,0.07,5570.0,0.04139,1076.0768191191682,1.0999931989351934
K2-19 b,K2-19,7.0,0.074,5322.0,-0.29196,863.8511904044288,0.5105520213889029
Kepler-560 b,Kepler-560,1.72,0.0899,3556.0,-1.717,345.0761548180506,0.01918668740670289
Kepler-150 d,Kepler-150,2.79,0.104,5560.0,-0.16141,785.5532437408968,0.6895884836192688
Kepler-498 b,Kepler-498,3.03,0.0897,5744.0,0.17242,1025.0701200964315,1.4873733645441127
Kepler-817 b,Kepler-817,9.03,0.0493,5861.0,0.08609,1315.6605005811596,1.2192422395567672
Kepler-937 b,Kepler-937,3.72,0.3214,6095.0,0.28097,576.4536052711912,1.909721335133475
K2-10 b,K2-10,3.773,0.137,5533.0,-0.10088,708.7033935515442,0.7927203369459088
Kepler-571 b,Kepler-571,2.64,0.0546,5527.0,-0.22253,1046.684937843587,0.5990595556139751
Kepler-1458 b,Kepler-1458,2.76,0.24869,5653.0,-0.24032,485.44008455278475,0.5750160936911822
Kepler-1600 c,Kepler-1600,1.94206512,0.06961,5119.0,-0.33945,866.6554631620627,0.45766742276257744
Kepler-221 d,Kepler-221,2.73,0.087,5243.0,-0.40429,746.8143763185778,0.39419399126187915
Kepler-626 b,Kepler-626,2.29,0.10913,5813.0,-0.04194,821.4624541527465,0.9079459588834884
Kepler-1549 b,Kepler-1549,2.57,0.6687,5324.0,-0.27333,290.4668896781972,0.5329297932528282
K2-62 c,K2-62,1.99,0.1148,4455.0,-0.72658,540.0436350933123,0.18768086655985286
Kepler-1149 b,Kepler-1149,1.44,0.0473,5833.0,0.16546,1405.9802675384624,1.46372671712924
Kepler-1288 b,Kepler-1288,1.12,0.04135,6132.0,0.30207,1626.7639475408998,2.004795136122618
Kepler-128 b,Kepler-128,1.421,0.12545,6072.0,0.57542,1093.1114995034864,3.762010470908786
Kepler-1245 b,Kepler-1245,1.44,0.0484,5306.0,-0.41093,997.4465099883846,0.3882129334801166
Kepler-1068 b,Kepler-1068,3.63,0.13038,5806.0,-0.02521,758.816572998276,0.9436044927301938
Kepler-311 c,Kepler-311,1.43,0.145,5905.0,0.19328,815.9824061695132,1.560558307681821
Kepler-150 e,Kepler-150,3.12,0.189,5560.0,-0.16141,582.7219720138257,0.6895884836192688
Kepler-272 c,Kepler-272,1.79,0.061,5297.0,0.06634,1169.404816909768,1.1650377559918645
Kepler-152 c,Kepler-152,2.39,0.356,5088.0,-0.46488,356.53305207438706,0.342862509871838
Kepler-1506 b,Kepler-1506,1.32,0.1168,5676.0,0.42561,1039.2639782239103,2.6644648785896683
CoRoT-3 b,CoRoT-3,11.32,0.05783,6740.0,0.39086,1447.7154185193274,2.459574603163548
HD 205739 b,HD 205739,13.6,0.896,6176.0,0.36,361.31899292381803,2.290867652767773
NGTS-10 b,NGTS-10,13.506845,0.0143,4600.0,-0.75673,1503.814531664813,0.17509349030030125
HD 224693 b,HD 224693,14.0,0.191,5894.0,0.61,903.7079697040559,4.073802778041127
HD 156279 b,HD 156279,12.5,0.502,5453.0,-0.14596,360.7471737651627,0.7145621366497326
HD 12661 b,HD 12661,13.3,0.84,5645.0,0.1327,327.40111407405436,1.3573754808982061
2MASS J12073346-3932539 b,2MASS J12073346-3932539,12.9,55.0,2825.0,-2.56086,8.583184562466226,0.0027487801123104462
HD 16417 b,HD 16417,5.0,0.14,5841.0,0.44317,958.8999104703502,2.7744059040906346
HD 19994 b,HD 19994,13.6,1.305,6188.0,0.58,339.8126484577612,3.8018939632056115
HD 156279 c,HD 156279,12.5,5.486,5453.0,-0.14596,109.12566274321577,0.7145621366497326
GJ 179 b,GJ 179,13.8,2.41,3370.0,-1.796,63.68487117450174,0.01599558028614669
GQ Lup b,GQ Lup,33.6,100.0,4360.0,-0.07239,26.66535045835991,0.8464669384948507
GJ 832 b,GJ 832,13.8,3.7,3472.0,-1.585,58.03552718920471,0.026001595631652722
